PD803059126BR,22/07/2014 02:33:39
DM040510925BR,22/07/2014 02:34:25
PD802796297BR,22/07/2014 02:36:21
PD792614240BR,10/07/2014 19:56:48
DG554597276BR,22/07/2014 02:43:50
PD845163371BR,05/08/2014 17:47:01
PD752965764BR,05/08/2014 17:47:01
DM040645375BR,22/07/2014 02:48:48
DM040611181BR,22/07/2014 02:49:54
PD802963940BR,22/07/2014 02:51:46
SW968194777BR,07/07/2014 18:46:49
DM038771715BR,22/07/2014 02:56:07
DG554595712BR,22/07/2014 03:00:17
DM040561613BR,22/07/2014 03:01:26
DM061284840BR,05/08/2014 17:49:03
DM040503045BR,22/07/2014 03:02:16
PD719031785BR,15/07/2014 08:59:16
PD803021338BR,22/07/2014 03:05:39
DM040609611BR,22/07/2014 03:07:06
PD845131820BR,05/08/2014 17:50:04
DM040612496BR,22/07/2014 03:08:06
PD785481361BR,07/07/2014 18:47:07
PD792690970BR,10/07/2014 19:59:34
PD746465194BR,22/07/2014 03:14:51
PD846318636BR,05/08/2014 17:52:22
DM034422100BR,15/07/2014 09:14:24
PD795153710BR,15/07/2014 09:14:27
PD792753771BR,10/07/2014 20:01:10
DM040534635BR,22/07/2014 05:13:54
PD795577991BR,15/07/2014 09:15:22
DM038794804BR,22/07/2014 05:18:30
DM029467925BR,07/07/2014 18:47:41
PD796543739BR,15/07/2014 09:15:45
DM028150420BR,10/07/2014 20:02:01
DM031068192BR,10/07/2014 20:02:31
PD752780535BR,10/07/2014 20:02:33
DM038831215BR,22/07/2014 06:59:54
PD785435296BR,15/07/2014 09:16:23
DM062691765BR,05/08/2014 17:56:49
PD758307139BR,05/08/2014 17:57:10
DM035123478BR,15/07/2014 09:16:38
PD846249326BR,05/08/2014 17:57:32
PD773393639BR,15/07/2014 09:16:48
DG546862204BR,22/07/2014 08:31:41
DM037343295BR,22/07/2014 08:33:47
PD717716567BR,10/07/2014 20:03:45
PD836324518BR,05/08/2014 17:58:43
PD782156862BR,15/07/2014 09:17:00
